rank,overallRarity,name,image,attributes
1,14.15778665635733,Renegade #290,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/290.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Chaos; HAIR: Mystic Wisps; OUTFIT: Saiyan Suit
2,13.751454011198689,Renegade #1463,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1463.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Chaos; HAIR: Man Bun; OUTFIT: Steel Spirit
3,13.468586333383824,Renegade #4693,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4693.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Smile; HAIR: Sunbeam Silhouette; OUTFIT: Crimson Fang Coat
4,13.273578499837274,Renegade #4790,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4790.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Chaos; HAIR: Buzzcut; OUTFIT: Gray Wash Tunic
5,12.958055132556439,Renegade #1997,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1997.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Vex; HAIR: Spiky Hair; OUTFIT: Crimson Fury Jacket
6,12.896820386007942,Renegade #4732,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4732.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Vex; HAIR: Seraphic Curls; OUTFIT: Noir Doublet
7,12.889711043427003,Renegade #4478,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4478.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Chaos; HAIR: Eternal Flow; OUTFIT: Crusader's Mantle
8,12.878300280106384,Renegade #1774,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1774.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Chaos; HAIR: Buzzcut; OUTFIT: Crimson Fury Jacket
9,12.82199371574704,Renegade #2290,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2290.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Chaos; HAIR: Delinquency; OUTFIT: Doubled Danger Peacoat
10,12.778057079044721,Renegade #2792,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2792.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Enigma; HAIR: Mystic Mist; OUTFIT: Zori
11,12.765916830222933,Renegade #3081,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/3081.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Chaos; HAIR: Wolf Hair; OUTFIT: Shogun's Regalia
12,12.757747538325823,Renegade #4635,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4635.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Vex; HAIR: Seraphic Curls; OUTFIT: Azure Dragon's Embrace
13,12.739996881709795,Renegade #1916,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1916.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Smile; HAIR: Man Bun; OUTFIT: Twilight Cloak
14,12.729551341109152,Renegade #4109,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4109.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Smirk; HAIR: Lunar Tresses; OUTFIT: Twilight Cloak
15,12.62630313723075,Renegade #4363,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4363.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Enigma; HAIR: Eternal Flow; OUTFIT: Emerald Samurai Robe
16,12.624807406674156,Renegade #3890,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/3890.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Vex; HAIR: Scruffy; OUTFIT: Sakura Blossom Chiffon
17,12.622493441046652,Renegade #691,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/691.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Smile; HAIR: Ahoge; OUTFIT: Moonlight Maestro's Doublet
18,12.611609575523747,Renegade #262,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/262.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Smile; HAIR: Seraphic Curls; OUTFIT: Hinata’s Heart
19,12.608957823561276,Renegade #2060,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2060.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Vex; HAIR: Compression; OUTFIT: Shadow Stalker Trench
20,12.592059013725994,Renegade #310,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/310.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Smile; HAIR: Spiky Hair; OUTFIT: Emerald Samurai Robe
21,12.588862147953217,Renegade #467,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/467.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Smile; HAIR: Aurora Veil; OUTFIT: Hunter Vest
22,12.58841642228739,Renegade #67,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/67.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Vex; HAIR: Phantom Veil; OUTFIT: Azure Rose Bolero Jacket
23,12.58449581954844,Renegade #4200,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4200.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Enigma; HAIR: Delinquency; OUTFIT: Enigma Robes
